"","unlistNoticias","Freq"
"1","",2
"2","(cbi)",1
"3","1951",1
"4","1982",1
"5","21",1
"6","a",2
"7","abril",1
"8","acordada",1
"9","actuará",1
"10","acuerdo",1
"11","adoptado",1
"12","ahora",1
"13","al",1
"14","animalistas",1
"15","anunció",1
"16","apropiadamente",1
"17","aseguran",1
"18","aseguró",1
"19","aunque",1
"20","ballena",1
"21","ballenas",1
"22","ballenera",1
"23","caza",4
"24","cbi",2
"25","cetáceos",1
"26","cientí­ficos",1
"27","comercial",2
"28","comerciales",1
"29","comisión",1
"30","como",1
"31","comprometido",1
"32","comunicado",1
"33","comunicó",1
"34","con",2
"35","conocer",1
"36","considerado",1
"37","creada",1
"38","dada",1
"39","datos",1
"40","de",13
"41","décadas",1
"42","decidido",1
"43","decisión",2
"44","del",1
"45","desde",2
"46","difundido",1
"47","dijo",1
"48","el",7
"49","en",5
"50","encubierta",1
"51","era",1
"52","esos",1
"53","estimar",1
"54","evitar",1
"55","exclusiva",1
"56","existí­a",1
"57","fines",1
"58","fue",2
"59","garantizar",1
"60","gobierno",2
"61","ha",3
"62","habí­a",1
"63","hace",1
"64","hasta",1
"65","hoy",1
"66","indica",1
"67","indiscriminada",1
"68","internacional",1
"69","japón",2
"70","julio",1
"71","la",12
"72","los",2
"73","manejo",1
"74","marinos",1
"75","miembro",1
"76","ministro",1
"77","modificación",1
"78","moratoria",2
"79","no",1
"80","observador",1
"81","océanos",1
"82","oficial",1
"83","organización",1
"84","organizaciones",1
"85","paí­s",1
"86","para",1
"87","partir",1
"88","por",2
"89","portavoz",1
"90","preservación",1
"91","próximo",1
"92","que",7
"93","quien",1
"94","reanudarán",1
"95","recursos",1
"96","respetado",1
"97","retirada",1
"98","retirarse",1
"99","se",2
"100","seno",1
"101","siete",1
"102","sigue",1
"103","su",2
"104","suga",3
"105","tokio",1
"106","una",2
"107","y",4
"108","yoshihide",1
